image_path,label
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_14_47 AM.png",0
fake image 2.0/f56b7714-8643-40d6-89f2-e4e4b8764322.png,0
"fake image 2.0/ChatGPT Image Jun 6, 2026, 01_04_25 AM.png",0
real news/WhatsApp Image 2026-06-08 at 2.09.39 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 7, 2026, 12_44_47 AM.png",0
real news/WhatsApp Image 2026-06-08 at 2.13.13 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 01_32_38 AM.png",0
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_32_35 AM.png",0
real news/WhatsApp Image 2026-06-08 at 2.15.05 PM.jpeg,1
fake image 2.0/971b7e47-d719-4abd-8143-20562cfd7655.png,0
real news/WhatsApp Image 2026-06-07 at 11.32.38 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 12_55_15 AM.png",0
real news/WhatsApp Image 2026-06-07 at 11.46.59 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 11_22_50 PM.png",0
real news/WhatsApp Image 2026-06-08 at 2.22.50 PM.jpeg,1
real news/WhatsApp Image 2026-06-07 at 11.40.01 PM.jpeg,1
real news/WhatsApp Image 2026-06-07 at 11.32.39 PM.jpeg,1
real news/WhatsApp Image 2026-06-08 at 2.11.42 PM.jpeg,1
real news/WhatsApp Image 2026-06-08 at 2.24.20 PM.jpeg,1
fake image 2.0/4ab32d9d-3f70-40fe-a48d-3952364f05f1.png,0
real news/WhatsApp Image 2026-06-08 at 2.15.20 PM.jpeg,1
real news/WhatsApp Image 2026-06-08 at 2.17.22 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 5, 2026, 09_03_49 PM.png",0
"fake image 2.0/ChatGPT Image Jun 6, 2026, 01_26_43 AM.png",0
"fake image 2.0/ChatGPT Image Jun 6, 2026, 12_42_53 AM.png",0
real news/WhatsApp Image 2026-06-08 at 2.12.34 PM.jpeg,1
"fake image 2.0/ChatGPT Image Jun 6, 2026, 02_34_38 AM.png",0
"fake image 2.0/ChatGPT Image Jun 7, 2026, 12_05_14 AM.png",0
fake image 2.0/7f1f6510-a6e4-43fc-bf0e-d44ea38f7e27.png,0
fake image 2.0/c542f21c-6f2b-47ac-ab4d-82c8d0d9e178.png,0
real news/WhatsApp Image 2026-06-07 at 11.39.55 PM.jpeg,1
